Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Switzerland*,6196,6921,7948,9374,10615,10859,11663,13403,15838,16396,18512,23680,23737,25339,26816,26031,26050,26962,27741,28436,29617,32198,33550
SyrianArabRepublic,29,30,35,40,42,40,235,250,210,211,530,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,13,64,119,68,101,158,171,106,184,201,263,240,304,165,87,216,252,190,108,167,224
Tanzania,20,30,27,27,34,33,30,39,48,47,123,133,162,130,98,104,108,114,99,87,87,0,0
Thailand,0,0,0,0,0,0,0,0,0,3265,3027,2921,2893,3289,3620,3992,4155,4397,4924,8913,7879,7584,6503
Timor-Leste,0,0,0,0,0,0,1,3,16,86,103,105,107,8,28,159,237,266,286,293,292,319,364
Togo,7,5,17,28,34,35,39,47,58,72,63,92,153,178,154,89,78,86,98,102,101,0,0
Tonga,0,6,15,13,10,11,14,9,13,9,8,6,5,7,6,14,26,27,21,29,29,31,28
TrinidadandTobago,0,0,0,0,0,0,0,0,0,0,0,201,223,216,253,290,372,379,359,252,266,196,171
Tunisia,21,21,13,17,13,16,16,15,16,13,13,19,18,20,28,26,27,29,29,30,24,32,42
"Türkiye,Rep,of",0,0,0,0,0,108,124,124,126,157,190,268,404,689,815,850,1108,631,627,678,521,631,731
TurksandCaicosIslands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,86,95,109,129,0,0,0,0
Tuvalu,0,0,0,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,2,2
Uganda,353,355,358,182,194,197,206,236,381,483,331,395,325,368,302,278,349,345,400,379,199,215,251
Ukraine,5,0,4,4,6,186,255,353,714,613,703,849,1003,1716,1702,627,559,584,565,575,843,1083,2036
UnitedArabEmirates*,13500,14360,15200,16120,17070,19730,22301,31887,36700,35024,38719,41227,52877,26462,28275,39700,39155,41254,45251,52880,42069,40245,39673
UnitedKingdom,5366,5463,5996,6991,8930,9643,10646,11597,11212,9275,9565,9931,10077,10528,11573,10707,10191,9804,10410,10360,9382,10274,10918
UnitedStates,35315,39007,40562,41391,44927,47751,50974,53039,55679,50555,50527,50854,52371,55003,57239,60719,62870,64114,66836,71583,66126,73720,81636
Uruguay,0,0,0,1,2,2,3,4,5,6,7,7,10,100,94,87,85,101,109,117,106,118,127
Uzbekistan,0,0,0,0,0,148,190,328,474,386,261,341,402,677,607,336,159,174,244,275,341,448,625
Vanuatu,17,16,2,3,3,3,3,3,3,3,3,4,2,2,4,3,5,5,10,14,11,10,19
"Venezuela,RB",331,406,383,209,214,211,257,662,841,582,805,782,899,1117,193,105,54,0,0,0,0,0,0
WestBankandGaza,6,5,5,18,11,6,7,8,8,8,18,48,48,53,36,30,30,27,22,29,22,32,9
"Yemen,Rep,",0,0,0,0,0,109,120,319,337,337,338,333,338,333,335,333,333,0,0,0,0,0,0
Zambia,24,28,38,72,76,94,115,124,139,66,68,70,97,77,81,72,63,121,132,104,89,122,131
Zimbabwe,0,0,0,0,0,0,0,0,0,9,9,9,10,10,11,11,14,19,29,13,22,0,0
